layerCount,neuronCount,neuronInputCount,trainMACE,testMACE,trainARGM,testARGM
41,91,51,0.028180003,0.029183056,0.0278,0.0286
51,91,41,0.028481944,0.029136721,0.03,0.0322
41,51,91,0.026177077,0.027162798,0.0243,0.0279
51,41,91,0.026787039,0.027644975,0.023683334,0.0273
71,91,31,0.030435164,0.030993026,0.0335,0.0369
31,71,91,0.026197635,0.027293092,0.023183333,0.0276
91,71,31,0.030337943,0.030600047,0.034183335,0.0368
91,31,71,0.026264768,0.027327603,0.024,0.0267
31,91,71,0.027059112,0.028045751,0.024666667,0.0278
71,31,91,0.026003713,0.0272186,0.023916667,0.0273
41,81,61,0.027932031,0.028939847,0.025766667,0.0301
81,61,41,0.029215332,0.029957678,0.030283334,0.0329
41,61,81,0.026908785,0.027660364,0.025483333,0.029
61,81,41,0.02895691,0.02989667,0.028833333,0.0314
61,41,81,0.025952427,0.026924387,0.02375,0.0283
81,41,61,0.028446188,0.029385544,0.027033333,0.0302
31,81,81,0.02633311,0.027496716,0.025016667,0.0287
81,31,81,0.026942942,0.028072258,0.024416666,0.0292
81,81,31,0.030516338,0.031125627,0.034833334,0.0369
71,71,41,0.028131803,0.028875932,0.028766667,0.0314
41,71,71,0.026792802,0.027575202,0.0261,0.0286
71,41,71,0.027919117,0.028819295,0.02385,0.0263
81,51,51,0.028149325,0.028989209,0.0272,0.03
51,51,81,0.026370704,0.027281111,0.024116667,0.0275
51,81,51,0.028368894,0.02901142,0.0269,0.0294
61,51,71,0.026613396,0.027490808,0.025233334,0.0286
71,61,51,0.027270956,0.028138481,0.0262,0.0295
71,51,61,0.026695551,0.027598355,0.024866667,0.0289
51,61,71,0.027124478,0.028056774,0.024533333,0.0277
51,71,61,0.027414886,0.028406631,0.02635,0.0298
61,71,51,0.027858138,0.028801203,0.0271,0.0298
61,61,61,0.027806904,0.028602516,0.026883334,0.0298
91,41,61,0.027169185,0.028246248,0.0255,0.031
41,61,91,0.026586615,0.02773505,0.023733333,0.028
